Title,EmployeeId,Description,IsApproved,Type,LeaveStartDate,LeaveEndDate
Morbi quis tortor id nulla ultrices aliquet.,125,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",true,doctor's appointment,2022-07-07T08:33:11Z,2021-07-11T06:49:22Z
Duis ac nibh.,296,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,true,sick,2021-06-02T03:17:48Z,2022-03-08T07:08:56Z
"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",272,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.",true,doctor's appointment,2024-05-10T23:06:10Z,2023-05-29T04:08:03Z
Integer ac leo.,324,"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true,food poisoning,2023-05-25T10:19:33Z,2021-04-09T06:47:57Z
"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",630,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",true,car trouble,2020-12-03T15:07:49Z,2024-09-16T07:21:40Z
Vivamus tortor.,75,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",false,sick,2023-09-27T01:14:53Z,2021-02-20T01:19:36Z
"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",638,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.",true,home repair,2021-12-11T10:31:56Z,2022-12-27T12:13:48Z
Praesent lectus.,953,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",true,sick,2021-05-04T13:05:10Z,2023-09-25T02:32:23Z
"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",215,Nunc purus.,false,food poisoning,2024-04-28T10:05:08Z,2023-07-21T23:33:00Z
Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,418,Etiam justo. Etiam pretium iaculis justo.,true,lost my voice,2021-04-03T03:35:49Z,2023-08-08T19:50:15Z
"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",759,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",true,food poisoning,2021-05-23T20:08:19Z,2022-08-24T03:47:51Z
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",205,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",false,migraine,2023-11-09T01:19:51Z,2022-11-30T22:35:20Z
"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",793,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",true,home repair,2023-06-18T20:00:38Z,2022-07-24T04:27:57Z
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",713,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,false,family emergency,2022-02-26T17:44:17Z,2022-06-01T22:09:55Z
Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,435,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,true,car trouble,2022-08-18T10:15:31Z,2021-05-03T00:44:04Z
"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",280,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",false,pet needs care,2021-08-02T16:09:22Z,2024-01-14T04:05:32Z
Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,640,Nulla tellus.,true,lost my voice,2021-05-13T06:24:44Z,2024-03-27T03:44:35Z
Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,513,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",false,sick,2021-08-11T03:48:23Z,2023-11-07T17:47:55Z
Aliquam sit amet diam in magna bibendum imperdiet.,360,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",true,family emergency,2021-05-06T00:43:14Z,2020-12-01T00:44:38Z
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",646,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,true,family emergency,2022-07-03T23:45:51Z,2022-07-07T10:27:34Z
Nulla mollis molestie lorem. Quisque ut erat.,368,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",false,stomach bug,2023-07-22T00:32:36Z,2024-04-24T08:03:31Z
Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,577,"In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",false,food poisoning,2023-05-28T14:37:30Z,2020-12-14T00:46:39Z
Proin risus.,401,Mauris lacinia sapien quis libero.,false,food poisoning,2023-10-07T09:56:47Z,2021-04-06T17:52:34Z
Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,420,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",true,doctor's appointment,2022-05-07T08:45:15Z,2023-08-28T05:37:32Z
"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",805,Cras in purus eu magna vulputate luctus.,true,doctor's appointment,2022-12-25T16:43:08Z,2023-01-06T13:22:26Z
Maecenas ut massa quis augue luctus tincidunt.,982,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.",true,migraine,2023-11-01T14:53:34Z,2022-03-18T04:11:08Z
Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,135,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",true,lost my voice,2024-04-28T08:24:11Z,2024-01-22T17:59:18Z
"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",212,"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",true,family emergency,2023-10-20T08:30:27Z,2021-09-29T16:53:33Z
"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",127,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",false,home repair,2024-07-15T23:15:55Z,2024-03-03T20:00:30Z
Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,765,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",true,stomach bug,2021-09-09T03:01:21Z,2023-08-13T00:59:28Z
Curabitur convallis.,384,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",false,pet needs care,2021-05-20T10:34:08Z,2022-02-14T16:48:13Z
Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,752,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,true,home repair,2022-07-05T06:48:00Z,2022-08-22T13:12:48Z
